\tSNO\t	\tCANSWER\t	\tUANSWER\t	\tEXPLANATION\t	\tQUESTIONS\t	\tR1\t	\tR2\t	\tR3\t	\tR4\t	\tMARKS\t
\t1\t	\tfloat[] f5=new f5[5]\t	\tfloat[] f5={0.5f,1.0f,2.0f}\t	\tThere is no explanation for these question.\t	\tWhich one cause a complie error?\t	\tfloat[] f1=new float[3]\t	\tfloat[] f5=new f5[5]\t	\tfloat[] f3=new float[3]\t	\tNone of the above\t	\t5.0\t
\t2\t	\tint[] a={2,3,78,9,75}\t	\tArray a=new Array(5)\t	\tThere is no explanation for these question.\t	\tWhich one of the following will declare an array & initialize it with five numbers?\t	\tArray a=new Array(5)\t	\tint[] a={2,3,78,9,75}\t	\tint[] a=new int[5]\t	\tint[5] array\t	\t5.0\t
\t3\t	\tString s1=null\t	\tString s2="null"\t	\tThere is no explanation for these question.\t	\tWhat is valid declaration of string?\t	\tString s1=null\t	\tString s2="null"\t	\tString s3=(String)abc\t	\tString s4=(String)\ufeed\t	\t5.0\t
\t4\t	\tint a=Math.abs(-5)\t	\tint b=Math.abs(5.0)\t	\tThere is no explanation for these question.\t	\tWhich of the following would compile without error?\t	\tint a=Math.abs(-5)\t	\tint b=Math.abs(5.0)\t	\tint c=Math.abs(5.5F)\t	\tNone of the above\t	\t5.0\t
\t5\t	\t3*4 & 3<<2\t	\t3*4 & 3<<2\t	\tThere is no explanation for these question.\t	\tWhich two statements are equivalent?\t	\t3/2 & 3>2\t	\t3<2 & 3*4\t	\t3*4 & 3<<2\t	\tNone of the above\t	\t5.0\t
\t6\t	\t16>>2 & 16>>>2\t	\t16*4 & 16>>2\t	\tBecause >>> operator is performing an unsigned right-shift of bits, when applied to an integer it has the effect of dividing by two. In particular, if the integer is a power of two, each right-shift exactly halves the value. For example: 16 >>> 1 // returns 8 16 >>> 2 // returns 4 16 >>> 3 // returns 2.\t	\tWhich two statements are equivalent?\t	\t16>>2 & 16>>>2\t	\t2<<16 & 16/2^2\t	\t16*4 & 16>>2\t	\tNone of the above\t	\t5.0\t
\t7\t	\tElements in collection are ordered\t	\tCollection is guaranteed to be immutable\t	\tThere is no explanation for these question.\t	\tWhich of the following statement is correct for the class java.util.ArrayList?\t	\tElements in collection are ordered\t	\tCollection is guaranteed to be immutable\t	\tElements in collection are guaranteed to be unique\t	\tElements in collection are accessed using a unique key\t	\t5.0\t
\t8\t	\tit can be marked abstract\t	\tIt must be marked final\t	\tThere is no explanation for these question.\t	\tWhich is true about a method-local inner class?\t	\tIt must be marked final\t	\tIt can be marked abstract\t	\tIt can be marked public\t	\tIt can be marked static\t	\t5.0\t
\t9\t	\tprivate synchronized int e\t	\tTranslate int b=3\t	\tThere is no explanation for these question.\t	\tWhich of the following non-local variable declaration will not compile?\t	\tprotected int a\t	\tTranslate int b=3\t	\tprivate synchronized int e\t	\tvolatile int d\t	\t5.0\t
\t10\t	\tpublic Test()\t	\tpublic Test()\t	\tThere is no explanation for these question.\t	\tWhat is prototype of default constructor for:public class Test{}?\t	\tTest()\t	\tTest(void)\t	\tpublic Test()\t	\tpublic Test(void)\t	\t5.0\t
